id,input,output,note,label
3381,Give me the krknctl command to filter pod interfaces,krknctl run pod-network-filter --ingress True --egress True --ports 80 --interfaces eth0 --pod-selector app=service --namespace <TARGET_NAMESPACE> --chaos-duration 60,Replace <TARGET_NAMESPACE> with the target namespace,pod-network-filter
3382,We're running a container kill in the app-ns namespace with label selector app=controller.,krknctl run container-scenarios --namespace app-ns --label-selector app=controller,,container-scenarios
3383,Run a VM failure without namespace,krknctl run kubevirt-outage --namespace <TARGET_NAMESPACE> --vm-name <PLACEHOLDER_VM_NAME>,Replace <TARGET_NAMESPACE> with the target namespace and <PLACEHOLDER_VM_NAME> with the VM name,kubevirt-outage
3384,Execute service disruption with label selector app=frontend in namespace monitoring,krknctl run service-disruption-scenarios --namespace monitoring --label-selector app=frontend,,service-disruption-scenarios
3385,Run container failure in namespace production with label selector app=web and report to ES,krknctl run container-scenarios --namespace production --label-selector app=web --container-name web --action 1 --enable-es True --es-server http://elasticsearch.local:9200 --es-port 9200 --es-verify-certs False --es-alerts-index container-alerts,,container-scenarios
3386,Execute container kill in namespace default with telemetry and Prometheus logs.,krknctl run container-scenarios --namespace default --label-selector app=nginx --capture-metrics True --prometheus-url http://prometheus:9090,,container-scenarios
3387,What's the syntax for filling up a PVC in namespace 'dev' to 75% capacity?,krknctl run pvc-scenario --namespace dev --fill-percentage 75,,pvc-scenarios
3388,run scenario to block node ports,"krknctl run node-network-filter --ingress True --egress True --node-selector node-role.kubernetes.io/worker= --ports 80,443",,node-network-filter
3389,how do I execute syn flood with health monitoring and custom headers,krknctl run syn-flood --target-port 8081 --health-check-url https://api.health.com/health --health-check-interval 20 --health-check-exit False,,syn-flood
3390,We're preparing for a chaos test to assess the impact of blocking traffic to pods labeled app=worker in the kube-system namespace.,krknctl run application-outages --namespace kube-system --pod-selector '{app: worker}' --block-traffic-type '[Ingress]',,application-outages
3391,reboot nodes in the cluster,krknctl run node-scenarios --action node_reboot_scenario,,node-scenarios
3392,Filter ingress and egress traffic for nodes labeled node-role=worker with ES logging,"krknctl run node-network-filter --ingress True --egress True --ports 80,443 --chaos-duration 60 --node-selector node-role=worker --enable-es True --es-server https://es.internal.com --es-port 9200 --es-password pass --es-alerts-index network-alerts",,node-network-filter
3393,Use krknctl to inject chaos in namespace default,krknctl run container-scenarios --namespace default --label-selector app=frontend,,container-scenarios
3394,Run a disruption for container named sidecar in namespace dev,krknctl run container-scenarios --namespace dev --container-name sidecar,,container-scenarios
3395,I need to run a network filter that blocks port 80 on pods labeled app=web in namespace test.,krknctl run pod-network-filter --ingress True --ports 80 --pod-selector app=web --namespace test,,pod-network-filter
3396,Create TCP SYN surge on the node labeled node=worker-2,krknctl run syn-flood --target-port 80 --node-selectors node=worker-2,,syn-flood
3397,Block outgoing traffic on port 8081 for 60 seconds,krknctl run node-network-filter --ingress False --egress True --ports 8081 --chaos-duration 60,,node-network-filter
3398,Run memory hog with health check and custom interval,krknctl run node-memory-hog --chaos-duration 120 --health-check-url https://monitoring.url/health --health-check-interval 20,,node-memory-hog
3399,Run fault domain injection in GCP zone,krknctl run zone-outages --cloud-type gcp --zone us-central1-f --gcp-application-credentials /path/to/credentials.json,,zone-outages
3400,run pod network chaos targeting label app=web,"krknctl run pod-network-chaos --namespace <TARGET_NAMESPACE> --label-selector app=web --traffic-type '[ingress,egress]' --test-duration 300",Replace <TARGET_NAMESPACE> with the target namespace,pod-network-chaos
3401,Execute pod failure in dev namespace with 3 iterations and 10 minutes wait.,krknctl run pod-scenarios --namespace dev --pod-label app=backend --disruption-count 1 --iterations 3 --wait-duration 600,,pod-scenarios
3402,Run node network filter on port 2379 in dev namespace with telemetry and archive path,krknctl run node-network-filter --ingress True --egress True --ports 2379 --chaos-duration 120 --namespace dev --telemetry-enabled True --telemetry-api-url https://telemetry.example.com --telemetry-archive-path /backup/etcd --telemetry-run-tag etcd-test,,node-network-filter
3403,wanna run a kubevirt outage scenario,krknctl run kubevirt-outage --namespace <TARGET_NAMESPACE> --vm-name <PLACEHOLDER_VM_NAME>,Replace <TARGET_NAMESPACE> with the actual namespace and <PLACEHOLDER_VM_NAME> with the actual VM name,kubevirt-outage
3404,Run container disruption in namespace prod with action 9 and label app=api,krknctl run container-scenarios --namespace prod --action 9 --label-selector app=api,,container-scenarios
3405,Execute service disruption in dev namespace,krknctl run service-disruption-scenarios --namespace <TARGET_NAMESPACE>,Replace <TARGET_NAMESPACE> with the target namespace name,service-disruption-scenarios
3406,Run disruptive power outage scenario on Azure for 300 seconds,krknctl run power-outages --shutdown-duration 300 --cloud-type azure --timeout 600,,power-outages
3407,Disrupt containers labeled app=web in namespace default for 60 seconds,krknctl run container-scenarios --namespace default --label-selector app=web --expected-recovery-time 60,,container-scenarios
3408,Can you give me the command to run IPMI-based node disruption?,krknctl run node-scenarios-bm --scenario-file-path <PLACEHOLDER_SCENARIO_FILE>,Replace <PLACEHOLDER_SCENARIO_FILE> with the path to your base64-encoded scenario file,node-scenarios-bm
3409,Run pod network filter scenario to block port 80 on frontend pods,krknctl run pod-network-filter --ingress True --egress True --ports 80 --pod-selector app=frontend --namespace <TARGET_NAMESPACE> --chaos-duration 90,Replace <TARGET_NAMESPACE> with the target namespace,pod-network-filter
3410,Need to simulate a VM failure in the dev namespace for testing.,krknctl run kubevirt-outage --namespace dev --vm-name <PLACEHOLDER_VM_NAME>,Replace <PLACEHOLDER_VM_NAME> with the actual VM name.,kubevirt-outage
3411,Execute a multi-VM deletion in the kube-system namespace with telemetry and Cerberus.,krknctl run kubevirt-outage --namespace kube-system --vm-name system-vm --kill-count 2 --telemetry-enabled True --telemetry-api-url https://telemetry.example.com --cerberus-enabled True --cerberus-url https://cerberus.example.com,,kubevirt-outage
3412,Run pod disruption in the production namespace and send data to Elasticsearch,krknctl run pod-scenarios --namespace production --pod-label app=web --disruption-count 2 --enable-es True --es-server http://localhost:9200 --es-port 9200 --es-username admin --es-password secret123 --es-verify-certs False --es-metrics-index metrics-logs --es-alerts-index alerts-logs,,pod-scenarios
3413,Target pods labeled app=frontend in the dev namespace for ingress disruption,krknctl run application-outages --namespace dev --pod-selector '{app: frontend}' --block-traffic-type '[Ingress]',,application-outages
3414,I want to create CPU pressure on nodes with label kubernetes.io/hostname=node3 for 10 minutes and ensure the health check exits on failure,krknctl run node-cpu-hog --chaos-duration 600 --node-selector kubernetes.io/hostname=node3 --health-check-url http://localhost:9090/health --health-check-exit on-failure,,node-cpu-hog
3415,Run a chaos injection for container in namespace test labeled app=backend,krknctl run container-scenarios --namespace test --label-selector app=backend,,container-scenarios
3416,run X plz with ingress only on port 443,krknctl run pod-network-filter --ingress True --egress False --ports 443 --pod-selector app=nginx --namespace kube-system,,pod-network-filter
3417,"For our security audit, we want to simulate a VM outage in the app-ns namespace.",krknctl run kubevirt-outage --namespace app-ns --vm-name <PLACEHOLDER_VM_NAME>,Replace <PLACEHOLDER_VM_NAME> with the actual VM name.,kubevirt-outage
3418,Prepare for a live demo of bare metal node disruption by executing the defined scenario.,krknctl run node-scenarios-bm --scenario-file-path <PLACEHOLDER_SCENARIO_FILE_PATH>,Replace <PLACEHOLDER_SCENARIO_FILE_PATH> with the actual path to the base64-encoded scenario file.,node-scenarios-bm
3419,Running a memory and disk stress test for our CI pipeline using I/O hog with default settings.,krknctl run node-io-hog,,node-io-hog
3420,just block ingress in dev,krknctl run service-disruption-scenarios --namespace dev,,service-disruption-scenarios
3421,Introduce time skew on pods labeled app=api and send data to ES,krknctl run time-scenarios --label-selector app=api --enable-alerts True --check-critical-alerts True,,time-scenarios
3422,"For our audit, we need to run pod traffic block on the app-ns namespace.",krknctl run pod-network-chaos --namespace app-ns --label-selector version=v1 --traffic-type '[egress]' --test-duration 200,,pod-network-chaos
3423,Block traffic to pods labeled app=web in namespace dev for 2 minutes,"krknctl run pod-network-chaos --namespace dev --label-selector app=web --traffic-type '[ingress,egress]' --test-duration 120",,pod-network-chaos
3424,Execute node crash with data capture and cluster alert checks,krknctl run node-scenarios --action node_crash_scenario --capture-metrics True --enable-alerts True --check-critical-alerts True,,node-scenarios
3425,How do I run container restart in namespace prod with label selector k8s-app=etcd?,krknctl run container-scenarios --namespace prod --label-selector k8s-app=etcd,,container-scenarios
3426,Run SYN surge with Prometheus and alerting on the target port in namespace staging,krknctl run syn-flood --target-port 80 --namespace staging --prometheus-url http://prometheus:9090 --enable-alerts True,,syn-flood
3427,Run an app outage test in namespace kube-system with telemetry and backup threads,krknctl run application-outages --namespace kube-system --pod-selector '{app: controller}' --chaos-duration 600 --telemetry-enabled True --telemetry-backup-threads 2 --telemetry-archive-path /data/backup,,application-outages
3428,Execute a pod outage scenario in production with telemetry and metrics archive,krknctl run application-outages --namespace production --pod-selector '{app: api}' --chaos-duration 1200 --telemetry-enabled True --telemetry-api-url https://telemetry.example.com --telemetry-archive-path /var/log/telemetry,,application-outages
3429,Set network fault with bandwidth limit and wait for 300 seconds,krknctl run network-chaos --traffic-type egress --duration 300 --egress '{bandwidth: 1m}' --wait-duration 300,,network-chaos
